,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,n_articles
3136,Vijfvoudig olympisch kampioene Franklin (23) stopt met zwemmen,Pijn in schouder noopt Missy Franklin nu al tot stoppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2584,Australië zet leger in om watersnoodramp te bestrijden,Leger ingezet bij watersnood Australië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1476,CNV: Gunstige prognoses lossen tekorten in de zorg niet op,Personeelstekorten in de zorg lopen rap terug,'Personeelstekorten in de zorg lopen in snel tempo terug',,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4303,Google verwijdert app die beweert 'homo's te genezen',Google verwijdert app van kerk die ‘homogenezing’ uitvoert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4257,Elton John treft schikking met uitgeverij in afluisterschandaalzaak,Elton John treft schikking over afluisteren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2432,Kledingketen Sissy-Boy failliet verklaard,Alweer een kledingketen failliet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1901,Documentaire over aanklachten Michael Jackson in première op filmfestival,Documentaire over misbruik Michael Jackson gaat op filmfestival Sundance in première,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3291,Echtgenoot Amanda Balk weer vrij,Man van Amanda Balk niet langer in voorlopige hechtenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4280,Openbaar vervoer zo goed als plat op 28 mei,FNV: Ook streekvervoer plat op 28 mei door pensioenacties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2655,Rechtbank: Groningse speelhal schuldig aan dood kleuter na val van kussen,Voorwaardelijk cel voor directeur speelhal na fataal ongeluk kleuter Maurycy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
65,Weerbericht: Regen en wind op bewolkte maandag,Sneeuwliefhebbers opgelet! Woensdag weer kans op sneeuw,Weerbericht: Grijze en regenachtige zaterdag,Weerbericht: Af en toe een sneeuwvlok,Weerbericht: Code geel wegens gladheid door winters weer,Het weerbericht van zaterdag 26 januari: bewolkt en zacht,Natte dag eindigt met storm aan kust,Weerbericht: Bewolkte dag met oplopende temperaturen,Woensdag weer kans op (natte) sneeuw,Weerbericht: Stevige wind en zachte temperaturen,Weerbericht: Kans op gladheid bij winterse temperaturen,Schaatsijs en sneeuw smelten in rap tempo weg,Winterse buien en bevriezing keren dinsdag terug,,,,,,,,,,,,,,,,,,13
5087,'Kanye West zet appartement gekocht als kerstcadeau weer te koop',Kim en Kanye willen alweer van peperduur appartement in Miami af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5220,Nederland vandaag eens niet de absolute topfavoriet,Nederlandse sprinters al vroeg in actie op 500 meter bij WK afstanden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
299,Giro-leider Conti dacht op weg naar roze trui niet aan deceptie uit 2017,Renners begonnen aan vierde etappe Giro d'Italia,"Vluchter Masnada wint Giro-rit, Conti neemt roze trui over van Roglic",Giro-etappe 16 mei: Eerste grote test voor de klassementsrenners,Ackermann sprint in stromende regen naar tweede ritzege in Giro,Renners van start in vlakke derde etappe Giro d'Italia,,,,,,,,,,,,,,,,,,,,,,,,,6
924,Treinen reden in 2018 vaker op tijd dan ooit,Treinen staan minder vaak stil door storing,‘Nederlandse treinen reden nog nooit zo punctueel als in 2018',,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3916,Georgina verandert in dreinende scholier en Isa herdenkt overleden moeder,Jim Bakkum sexy in Miami en Posjes bouwen wijnimperium verder uit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4165,"Roland Garros verhoogt prijzengeld met 8 procent naar 42,7 miljoen euro",Roland Garros: meer prijzengeld en nieuw stadion geopend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
890,"Dumoulin, Verstappen en Bertens niet bij kanshebbers","Herlings bij laatste drie Sportman van het Jaar, vier vrouwen genomineerd","Geen Dumoulin en Bertens, wel Ter Mors en Herlings",,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3819,Opschudding om verdacht White Power-handgebaar van kersverse kabinetsleden Estland,Opschudding om ‘White Power-gebaar’ van kersverse kabinetsleden Estland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
353,Pröpper en Locadia na strafschoppen naar halve finale FA Cup,Liverpool herovert koppositie in Premier League ondanks fout Van Dijk,Geen Nederlanders in eerste kwartfinale FA Cup,Juninho Bacuna maakt voor Huddersfield eerste goal in Premier League,Tottenham Hotspur opent nieuw stadion op woensdag 3 april tegen Palace,,,,,,,,,,,,,,,,,,,,,,,,,,5
428,"Oostenrijk wipt over Nederland heen, Bosz ligt eruit met Bayer","Europees avontuur Keizer en Sporting voorbij, ook Brugge strandt in EL","Bosz met Leverkusen uitgeschakeld in EL, Fran Sol helpt Kiev verder",Europa League: Hopen op Club Brugge en Inter,Oostenrijk wipt over Nederland heen na zege Salzburg op Brugge,,,,,,,,,,,,,,,,,,,,,,,,,,5
4341,Shiffrin verovert voor vierde keer op rij wereldtitel op slalom,Shiffrin voor vierde keer op rij wereldkampioene op slalom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3143,Kritiek op Tygo in de GHB vanuit Sint Willebrord: Suggestief en niet hier opgenomen,Kritiek op EO-drugsshow vanuit Sint Willebrord: Suggestief en niet hier opgenomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4100,Tien kinderen op schoolplein in VS beschoten met luchtbuks,Tien kinderen op schoolplein in VS beschoten met luchtgeweer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
583,Reacties overlijden Prodigy-zanger Keith Flint: 'Hij was een legende',Zanger Keith Flint (49) van The Prodigy overleden,Opvallende momenten uit leven van Prodigy-zanger Keith Flint (49),The Prodigy-zanger Keith Flint (49) overleden,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3049,Hamilton benadrukt dat Mercedes koel moet blijven in strijd met Ferrari,Teambaas Binotto gelooft niet dat Ferrari voorsprong heeft op Mercedes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2587,Kindje van een jaar van eerste verdieping flatgebouw gegooid in Ridderkerk,Jongetje (1) van eerste verdieping flatgebouw gegooid in Ridderkerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2030,Verstappen gaat voor taakstraf meelopen met Formule E-stewards,Verstappen ervaart uitvoeren van taakstraf als 'constructief',,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1190,‘Agenten veel vaker slachtoffer van geweld tijdens de jaarwisseling’,Politie: 'Meer geweld tegen agenten rond jaarwisseling dan gemeld','Meer geweld tegen politie rond jaarwisseling',,,,,,,,,,,,,,,,,,,,,,,,,,,,3
722,Explosieve stijging van dumpingen met drugsafval,Aantal lozingen van drugsafval met 42 procent toegenomen in 2018,Aantal dumpingen van drugsafval blijft fors toenemen,Explosieve stijging drugsdumpingen,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3746,Kankerspecialist nu hij zelf wordt behandeld: ‘Artsen begrijpen er geen snars van’,Deze dokter merkt eindelijk wat een kankerpatiënt meemaakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
701,"Koerden: ‘IS-strijders worden niet zomaar vrijgelaten, maar situatie is wel een tijdbom’",‘Nederland moet jihadisten terughalen uit Syrië’,Europa heeft weinig trek in repatriëren Syriëgangers,Europa ook na dreigement Trump terughoudend over terughalen IS'ers,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2926,Opnieuw walvissen aangespoeld op kust Nieuw-Zeeland,Opnieuw walvissen aangespoeld op kust Nieuw-Zeeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5132,Elektriciteit Venezuela moeizaam weer op gang na hevige stroomuitval,Elektriciteit Venezuela met horten en stoten op gang na hevige ‘black-out’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3734,"Tim brengt ode aan Kurt Cobain, Nicolette verstopt tussen veren","Jim is een meisje, Sylvie klaar voor het lentezonnetje",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2636,Amersfoorter Gerard van Vulpen (46) eindelijk vrij uit de ‘hel van Thaise politiecel’,Amersfoorter Gerard van Vulpen (46) eindelijk vrij uit de ‘hel van Thaise politiecel’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1967,Biologisch gezien zijn wij niet gemaakt voor lange relaties,Verliefd zijn maakt van ons een chemische fabriek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4454,Netflix kondigt met You vs. Wild tweede interactieve serie aan,Keihard rennen of stilstaan? Netflix komt met interactief survivalprogramma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2488,145 dode en doodzieke grienden aangespoeld op strand Nieuw Zeeland,Meer dan 140 dolfijnen aangespoeld op strand in Nieuw-Zeeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4694,"Buzzfeed: Door WWF gefinancierde parkwachten vermoorden, martelen en mishandelen vermeende stropers",'WWF financiert mensenrechtenschenders in meerdere landen',,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3131,Messi bij terugkeer in nationale ploeg onderuit tegen Venezuela,Argentinië verliest van Venezuela bij eerste interland Messi sinds WK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1703,"Rotterdam The Hague Airport trok vorig jaar 1,9 miljoen passagiers","Eindhoven Airport trok vorig jaar 6,2 miljoen passagiers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2212,Jan Versteegh voor tweede keer vader geworden,Jan Versteegh opnieuw vader geworden van dochter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3264,Merkel verwijdert ‘nazi-schilderijen’ uit haar werkkamer,Merkel verwijdert schilderijen Emil Nolde uit werkkamer. De kunstenaar blijkt aanhanger te zijn geweest van de nazi’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1075,Joëlle slaapt amper in Zuid-Korea en Lil’ poseert in bloederige outfit,Oscar Kazàn doet babyboodschappen en Chantals alterego is kwaad,Dionne gesnapt in Carré en Lil’ poseert in bloederige outfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
331,'Degradatiekandidaat Excelsior in gesprek met trainer Moniz',Moniz trots op Excelsior-klus: ‘Dit is een grote eer’,Moniz maakt seizoen af als interim-trainer Excelsior,Moniz opvolger van Poldervaart bij Excelsior,NEC wint tegen Jong PSV eerste wedstrijd onder leiding van De Groot,NEC wint eerste duel na ontslag De Gier,,,,,,,,,,,,,,,,,,,,,,,,,6
242,Nowitzki neemt afscheid na 21 jaar bij Dallas Mavericks: ‘Een ongelooflijke reis’,Play-offs NBA: Wie vult het grote gat dat LeBron James achterlaat?,Milwaukee Bucks maakt vliegende start in play-offs NBA,"Emotionele Nowitzki zwaait af na 21 jaar, ook Wade neemt afscheid van NBA",Detroit Pistons pakt laatste ticket play-offs,Golden State opnieuw torenhoog favoriet voor titel in NBA,NBA-legende Nowitzki (40) zet na 21 seizoenen punt achter loopbaan,,,,,,,,,,,,,,,,,,,,,,,,7
3943,Het Geluid van Qmusic is een ton waard bij Mattie & Marieke,Het Geluid ton waard bij Mattie en Marieke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1780,Bonus van 405 euro voor docent die griepprik haalt,Halen griepprik levert deze docenten een bonus op,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
237,Oranje ook in EK-kwalificatie gekoppeld aan Duitsland,Oranje start thuis tegen Wit-Rusland en Duitsland,Oranje gekoppeld aan Duitsland in loting EK-kwalificatie,Potindeling loting EK-kwalificatie met Oranje als groepshoofd,Koeman spreekt ondanks poule met Duitsland van 'prima loting',Volledige loting kwalificatie EK voetbal 2020,Vandaag loting EK-kwalificatie: wat is de ideale groep voor Oranje?,,,,,,,,,,,,,,,,,,,,,,,,7
626,"Basisinkomen zet mensen niet aan tot meer werk, blijkt (voorlopig) uit Fins experiment","Basisinkomen Finland leidt tot geluk, maar niet tot meer werk",Gaat dat basisinkomen er ooit nog van komen in Nederland?,Rutger Bregman: ‘Fins experiment met basisinkomen wel degelijk geslaagd’,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3321,Neergestoken persoon in Peperstraat is 28-jarige man,Man zwaargewond door steekpartij in Groningen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4653,Netflix schrapt kritische aflevering uit comedyshow na klacht Saudische overheid,Netflix schrapt kritische aflevering uit comedyshow na klacht Saoedische overheid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3610,Ajax licht optie in contract Sinkgraven,Ajax verlengt aflopend contract Sinkgraven met een seizoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
263,Roest start na Kramer en Bergsma bij 5.000 meter op WK afstanden,Nuis in laatste rit op 1500 meter,Wüst laat 1.000 meter op WK afstanden aan zich voorbij gaan,Nuis treft Kulizhnikov in slotrit 1.000 meter bij WK afstanden,Titelverdediger Nuis in laatste rit 1.500 meter bij WK afstanden,"Roest op 5000 meter in laatste rit, Kramer treft Italiaan",,,,,,,,,,,,,,,,,,,,,,,,,6
1606,Amstel Gold Race verplaatst start van Markt naar Vrijthof,Amstel Gold Race verlegt start naar Vrijthof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2354,Waylon vanaf september met theatertour langs 44 steden,Waylon gaat het theater in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
797,Dijkhoff (VVD): klimaatbeleid kan leiden tot val van kabinet-Rutte III,Dijkhoff slaat (even) een ander klimaattoontje aan,"VVD wil klimaatakkoord niet uitvoeren, spanning in coalitie",,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1173,Saar scheert haartjes van bovenlip en Georgina krijgt mysterieus boeket,Quinty hult zich in dikke col en Beau krijgt zijn pubers niet onder controle,Anouk vol in de make-up voor The Voice en K3 gespot met mysterieuze stipjes,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3911,'Vier Britse veteranen aangeklaagd voor rol tijdens Bloody Sunday’,'Britse veteranen alsnog aangeklaagd voor rol tijdens Bloody Sunday',,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1876,Feyenoord en Ajax bereiden zich voor op Klassieker in beker,AZ op voorsprong in halve finale beker tegen Willem II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1117,Kelderman breekt sleutelbeen bij val in Catalonië,Kelderman breekt sleutelbeen en nekwervel bij val in Catalonië,Kelderman breekt sleutelbeen en nekwervel bij valpartij in Catalonië,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1772,Primark in Utrecht woensdag geopend voor publiek,Primark opent woensdag de deuren in Hoog Catharijne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4265,Bewoners: 'Schiphol mag tot 2023 niet groeien’,Bewoners: 'Schiphol mag niet groeien',,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2839,Turkije zet Nederlandse correspondent Boersma uit na melding OM; politiek en journalisten willen opheldering,Van correspondent tot verdachte: wie is Ans Boersma?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
168,"GroenLinks grootste partij in gemeente Utrecht, 27,8 procent van stemmen","VVD grootste partij in Den Haag, Forum voor Democratie grote winnaar",VVD opnieuw grootste partij in Breda,Forum voor Democratie grote winnaar in gemeente Rotterdam,"VVD krijgt meeste stemmen in Eindhoven, GroenLinks tweede partij",GroenLinks grote winnaar in Leiden,VVD krijgt meeste stemmen in Alphen aan den Rijn,"GroenLinks grote winnaar in Amsterdam, 24 procent van de stemmen",GroenLinks grote winnaar in gemeente Groningen,,,,,,,,,,,,,,,,,,,,,,9
4979,"Gevangene ontsnapt uit Belgisch gerechtsgebouw, politie houdt klopjacht",Gevangene ontsnapt uit Belgisch gerechtsgebouw en vlucht school binnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3151,'Yassine Abdellaoui denkt dat zwager doelwit schietpartij Amsterdam was',Oud-voetballer Abdellaoui: Schutter had het gemunt op mijn zwager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4306,Senna overleefde aanslag Koninginnedag en ziet wens in vervulling gaan,Senna overleefde aanslag Apeldoorn en ziet ‘koninklijke wens’ in vervulling gaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2945,Griekse politie: Geen aanwijzingen voor Ajax-supporters bij voetbalgeweld,Ajax-supporters slaags met AEK-fans in Athene aan vooravond CL-duel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
